1744,3,"Pls email me and I will try to access it on your basic '2G' 2band GSM network access, which is also slow and tedious with its 'fail to connect to the internet' notices"
1744,4, My 2G N305 is far superior in accessing the internet
1756,0,Watsapp not suported this phone
1758,0,"Nokia mobile we have like,"
1765,0,"Jest prosty w obs?udze,ma du?e litery"
1765,1, Doskona?y dla osob starszych
1778,0,Since No new latest software and even Apps Upgraded
1788,0,It is not instaled by external app
1788,1,example watsup and hike messenger
1796,0,Awsome! at this price
1798,0,Ini ponsel harga gaul fitur ok
1838,0,Karena hp ini sangat nyaman di tangan
1867,0,The Phone Is Ok his Price
1882,0,"Fb app doesnt work, there is no updates, pls make whatsapp available for this"
1946,0,There is a big problem with this phone?
1946,1,"\nSometime the \""""Backlight\"""" not going to turned off after limite time(like: 20 sec"
1946,2,\nThen I have to turn off this phone to solve the problem
1952,0,It is a good phone
1959,0,"Nice keypad, durable but dictionary is not like it used to be"
1968,0,Facebook does not start
1974,0,Karena hp akan di jual
1977,0," Its sound qualitye, weight, style, switch , battery back up all are perfect and good"
1984,0,It is a good but sending a masage ie inserting a contact in masaging it cant
1989,0,Mage phon aka katawath denne
2006,0,Karena hp ini di lengkapi dengan internet
2007,0,Sir please tell how do open the inside body of this microsoft mobile
2013,0,My fb app is not opening
2037,0,Bcoz da fone has all d necessities u nid in a fone
2037,1,kol n rec kol n etc
2084,0,Contact me for details
2099,0,I dont like its body style its body looks like a calculator my friend's always call this phone calculetor
2122,0,Because this phone is very smart
2137,0,"Voice clarity and earpiece sound,earphone excellent and over all look and batery all are good at this price"
2142,0,"S?aby aparat, brak lampy b?yskowej, ma?a pojemno?? skrzynki odbiorczej"
2142,1," Poza tym telefon OK!"""
2147,0,Cuz w/out send to many and insert number
2148,0,It is so easy to use
2170,0,Blacklist is not found
2171,0,download 2go or game
2173,0,It doesn't support Java applications
2202,0,"No java ,no more fun, no more games and no more nokia phones"
2205,0,Because in this mobile only facebook are support not support whatsapp
2205,1,I have work on whatsapp
2213,0,It's to bad phone
2214,0,This is becos it does not whatsup
2222,0,Vi? tro? tr?i pha?i nh?p ma? tro? tr?i
2229,0,My facebook app dose not open
2238,0,Is it had the whatsup app
2238,1," I think i would besides that, i guese this is not a nokia phone"
2242,0,Because the os not good
2242,1, I like nokia asha 206 os
2245,0,"Harga terjangkau,diperlukan bagi pengguna yg repot dgn layar sentuh"
2280,0,Because in this cheap price it is a good phone
2289,0,"I like it becus it as touch light and it cn browse i hate it becus it is very expensive, and it can't download games and social network, and it camera is nt sharp at all is nt like 206, very strong phone"
2289,1, I like nokia phone if nokia do a andriod with strong battery like the small ones and flash light and in the range of 20 to 30 thousand naira i will buy it
2296,0,Phone was very slow
2299,0,What is mean by cannot open this time
2303,0,Keypad and everything is ok
2303,1, But this phone was not able to run Whatsapp
2303,2, This is a big draback for Nokia 215
2303,3, So pls provide this app to this phone
2315,0,It is my favourite number
2322,0,The operamin is not working parfectly so i requested you to solve this problame and give a new browse uc browser
2353,0,Cause its not like a real nokia phone
2366,0,Because it is very useful
2367,0,K ngke taj ngke dk
2382,0,Nokia 215!a great phone to me
2382,1,where i can get weather update and more of social networks!
2391,0,TELFON JEST TRUDNY W USTAWINIU I BATERJA JEST STABA BO SI? SZYPK SIE ROZ?ADOWUJE
2416,0,Battery backup is not great
2420,0,Because of his battery capacity is very low
2438,0,Its gud n easy 2 use
2440,0,"Please add notes/ make a note view a note option , inbox and conversation both option again in it and increase message memory and add std"
2440,1,/scientific /loan calcultaor and add small font 
2440,2, Add call record option 
2440,3," Add contact view as contact and number like nokia 112"""
2479,0,Vi no de dung nhug mot so chuc nang kho dung lm
2490,0,"Karena bentuk nya yang bagus, sinyal nya juga kuat"
2507,0,"Modely praktis, menu lengkap, harga terjangkau"
2534,0,Khong tai game duoc
2535,0,Because the phone can't whatsapp
2537,0,Youtube is not working and whatsapp also
2543,0,Kch v download nei hota hai
2551,0,Nice to use especially to use fb
2551,1, But not downloading uc browser
2567,0,Good and cute phone at right price
2577,0,Prosze o kontakt pracownika nokia windows w sprawie gwarancji na ten telefon 
2577,1, Jestem pod numerem
2585,0,"The old Nokias like 1100, 1200, 2100 were much better, and had nicer, user-friendly features"
2585,1, You don\'t buy a simple phone to have smart-phone-like displays but still be dumber than th old phones
2585,2, I detest th message feature of conversations and not listed messages
2587,0,"Camera result is not so good,if it carries a flash light than this phone is good"
2588,0,It is n0t fine
2599,0,This mobile is eassy useful
2613,0,Becouse it fast in browsing n very portable
2613,1, But not enough capacity for downloading of items
2630,0,Kyuki es phone me kafi aache fasliti di gae h
2630,1,mujhe yah phone kafi pasand aaya
2630,2, Bs messenger aur whether ka app kam nahi krta h
2645,0,Khong vi li do gi
2668,0,Becaues i like that one
2689,0,I is a stupid phone
2692,0,This phone have to be an app store
2698,0,La vj ko taj dk cac ung dung hay nang cap may nay cho toj
2702,0,Facebook does not start
2715,0,Because its internet speed is not soo good
2717,0,"This phone does not support youtube,whatsapp and 2go"
2724,0,I like it and is the best phone evar
2735,0,Because i cant chat on 2go with my phone
2740,0,It should have whatsapp
2751,0,"The phone lacks alot of things like editing of phone,personalise for a number in your contact,can't do whatsapp,can't zoom photos"
2778,0,I need whatsapp in this phone
2781,0,It is very fast and when you will connect the interntet this mobile works very fast in 2g like almost 3g
2789,0,It doesn't provide youtube videose
2798,0,Because mobile is hanging when interneat con
2798,1, Is start with fb mes
2804,0,Krna ini sngat berharga bwt saya
2810,0,Needs more user friendly system sw that could be modified by user according to user personal need
2812,0,Sangat mungkin d percaya
2826,0,"Unstable,music player crash,opera problems,slow power on,bad earpiece"
2827,0,Because i extremly like this phone feature
2831,0,Because you can\'t install Whatsapp and almost everything about the phone is slow
2833,0,Asalkan saya menyerahkan kepacar
2845,0,Facebook application is slow and can't log my profile
2854,0,4cos the phone is gud but i wil ve score u 10 but no whassup for me to chat wit my friends
2857,0,Khong tai duoc cac phan mem khac
2866,0,Because this product is awesome
2874,0,"I like the improvements nokia made in this model such as big screen, conversation mode of msg, facebook"
2883,0,Screen too dark for sight
2885,0,Si potrebbe migliorare qualcosa
2888,0,Etne logo ko hum phone ke bare me bataye ge
2892,0,Karena NOKIA sangat simpel dan elegan
2894,0,The phone is simple and smart
2895,0,Karna saya ingin menang
2896,0,This phone cannot see the video
2898,0,Battary packup is very poor
2913,0,You are best company
2940,0,Because we cann't use any apps other then provided apps
2967,0,Toi thay may nay khong duoc nhu dong may doi truoc
